iter	Logloss
0	0.645417026
1	0.6145748013
2	0.5778780957
3	0.5552528225
4	0.5312337695
5	0.5011973995
6	0.4824683686
7	0.4634632874
8	0.4513021014
9	0.4363304346
10	0.427147935
11	0.4170966698
12	0.4073653668
13	0.3987988347
14	0.3910736057
15	0.3858005885
16	0.3824130314
17	0.3681588939
18	0.3643899444
19	0.3614066858
20	0.3593817962
21	0.3500188855
22	0.3478350076
23	0.3461200524
24	0.3415434906
25	0.3394634207
26	0.337878467
27	0.3365349057
28	0.3347683855
29	0.3331111128
30	0.3314745214
31	0.3305279314
32	0.3293872585
33	0.325116966
34	0.3240003839
35	0.3223836985
36	0.3217545778
37	0.320829132
38	0.3201435392
39	0.3186866299
40	0.3176041198
41	0.3167813199
42	0.3155246184
43	0.3148846889
44	0.3143376771
45	0.3137498629
46	0.3129149447
47	0.3120016657
48	0.3109082408
49	0.3102754258
50	0.3093573444
51	0.3088337933
52	0.308408821
53	0.3079218008
54	0.3051926647
55	0.3045955781
56	0.3043750604
57	0.3036791667
58	0.3030892735
59	0.3025847716
60	0.3020402177
61	0.3014357951
62	0.3009725604
63	0.3002987897
64	0.2996073201
65	0.2993603437
66	0.2990320874
67	0.2986651998
68	0.2980965518
69	0.2977834807
70	0.2973728367
71	0.2971517108
72	0.29687613
73	0.296477971
74	0.296271742
75	0.2957460378
76	0.2950464559
77	0.2946545427
78	0.2940920611
79	0.2932688044
80	0.2928199073
81	0.2924159141
82	0.2919203386
83	0.2914432971
84	0.2911365749
85	0.2907871148
86	0.2905341694
87	0.2900769823
88	0.2898129821
89	0.2893256882
90	0.2888921434
91	0.2883233828
92	0.2879215907
93	0.2877080959
94	0.2874229545
95	0.2869067445
96	0.2865609724
97	0.2860231648
98	0.2858056095
99	0.2855070438
100	0.2850299138
101	0.2847682454
