iter	Passed	Remaining
0	17	17608
1	35	17844
2	51	17115
3	70	17544
4	88	17697
5	113	18839
6	133	19005
7	152	18935
8	169	18628
9	183	18131
10	195	17608
11	209	17215
12	219	16650
13	232	16354
14	247	16251
15	262	16143
16	276	15997
17	286	15644
18	298	15397
19	310	15212
20	323	15061
21	333	14819
22	345	14679
23	358	14592
24	369	14418
25	380	14254
26	395	14257
27	407	14142
28	420	14063
29	430	13927
30	443	13856
31	456	13804
32	469	13753
33	480	13654
34	492	13592
35	506	13564
36	519	13529
37	530	13418
38	546	13458
39	558	13401
40	572	13385
41	585	13345
42	595	13261
43	608	13213
44	622	13200
45	636	13199
46	647	13121
47	658	13065
48	671	13033
49	685	13025
50	697	12970
51	709	12941
52	722	12908
53	736	12897
54	749	12885
55	760	12824
56	774	12813
57	787	12790
58	801	12788
59	812	12728
60	823	12672
61	835	12638
62	849	12630
63	862	12618
64	873	12567
65	886	12539
66	899	12519
67	909	12458
68	921	12431
69	933	12404
70	946	12387
71	957	12336
72	969	12305
73	982	12294
74	993	12257
75	1007	12254
76	1019	12223
77	1032	12203
78	1046	12194
79	1057	12161
80	1068	12127
81	1081	12103
82	1094	12087
83	1104	12046
84	1117	12024
85	1129	12006
86	1143	11999
87	1163	12063
88	1183	12117
89	1202	12160
90	1219	12181
91	1232	12159
92	1245	12148
93	1260	12148
94	1271	12115
95	1283	12084
96	1295	12061
97	1311	12071
98	1326	12071
99	1337	12038
100	1355	12062
101	1365	12018
